SampleID,Treatment,Replicate,bamReads,Peaks,PeakCaller
1,BMAL1,1,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/BMAL1/BMAL1_sample1_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/BMAL1/BMAL1_sample1_macs_peaks.xls,macs
2,BMAL1,2,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/BMAL1/BMAL1_sample2_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/BMAL1/BMAL1_sample2_macs_peaks.xls,macs
3,BMAL1,3,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/BMAL1/BMAL1_sample3_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/BMAL1/BMAL1_sample3_macs_peaks.xls,macs
4,BMAL1,4,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/BMAL1/BMAL1_sample4_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/BMAL1/BMAL1_sample4_macs_peaks.xls,macs
5,BMAL1,5,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/BMAL1/BMAL1_sample5_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/BMAL1/BMAL1_sample5_macs_peaks.xls,macs
6,BMAL1,6,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/BMAL1/BMAL1_sample6_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/BMAL1/BMAL1_sample6_macs_peaks.xls,macs
8,CLOCK,1,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CLOCK/CLOCK_sample1_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CLOCK/CLOCK_sample1_macs_peaks.xls,macs
9,CLOCK,2,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CLOCK/CLOCK_sample2_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CLOCK/CLOCK_sample2_macs_peaks.xls,macs
10,CLOCK,3,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CLOCK/CLOCK_sample3_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CLOCK/CLOCK_sample3_macs_peaks.xls,macs
11,CLOCK,4,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CLOCK/CLOCK_sample4_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CLOCK/CLOCK_sample4_macs_peaks.xls,macs
12,CLOCK,5,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CLOCK/CLOCK_sample5_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CLOCK/CLOCK_sample5_macs_peaks.xls,macs
13,CLOCK,6,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CLOCK/CLOCK_sample6_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CLOCK/CLOCK_sample6_macs_peaks.xls,macs
15,CRY1,1,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CRY1/CRY1_sample1_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CRY1/CRY1_sample1_macs_peaks.xls,macs
16,CRY1,2,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CRY1/CRY1_sample2_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CRY1/CRY1_sample2_macs_peaks.xls,macs
17,CRY1,3,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CRY1/CRY1_sample3_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CRY1/CRY1_sample3_macs_peaks.xls,macs
18,CRY1,4,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CRY1/CRY1_sample4_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CRY1/CRY1_sample4_macs_peaks.xls,macs
19,CRY1,5,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CRY1/CRY1_sample5_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CRY1/CRY1_sample5_macs_peaks.xls,macs
20,CRY1,6,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CRY1/CRY1_sample6_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CRY1/CRY1_sample6_macs_peaks.xls,macs
22,CRY2,1,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CRY2/CRY2_sample1_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CRY2/CRY2_sample1_macs_peaks.xls,macs
23,CRY2,2,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CRY2/CRY2_sample2_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CRY2/CRY2_sample2_macs_peaks.xls,macs
24,CRY2,3,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CRY2/CRY2_sample3_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CRY2/CRY2_sample3_macs_peaks.xls,macs
25,CRY2,4,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CRY2/CRY2_sample4_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CRY2/CRY2_sample4_macs_peaks.xls,macs
26,CRY2,5,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CRY2/CRY2_sample5_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CRY2/CRY2_sample5_macs_peaks.xls,macs
27,CRY2,6,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CRY2/CRY2_sample6_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/CRY2/CRY2_sample6_macs_peaks.xls,macs
29,PER1,1,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/PER1/PER1_sample1_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/PER1/PER1_sample1_macs_peaks.xls,macs
30,PER1,2,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/PER1/PER1_sample2_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/PER1/PER1_sample2_macs_peaks.xls,macs
31,PER1,3,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/PER1/PER1_sample3_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/PER1/PER1_sample3_macs_peaks.xls,macs
32,PER1,4,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/PER1/PER1_sample4_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/PER1/PER1_sample4_macs_peaks.xls,macs
33,PER1,5,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/PER1/PER1_sample5_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/PER1/PER1_sample5_macs_peaks.xls,macs
34,PER1,6,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/PER1/PER1_sample6_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/PER1/PER1_sample6_macs_peaks.xls,macs
36,PER2,1,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/PER2/PER2_sample1_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/PER2/PER2_sample1_macs_peaks.xls,macs
37,PER2,2,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/PER2/PER2_sample2_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/PER2/PER2_sample2_macs_peaks.xls,macs
38,PER2,3,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/PER2/PER2_sample3_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/PER2/PER2_sample3_macs_peaks.xls,macs
39,PER2,4,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/PER2/PER2_sample4_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/PER2/PER2_sample4_macs_peaks.xls,macs
40,PER2,5,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/PER2/PER2_sample5_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/PER2/PER2_sample5_macs_peaks.xls,macs
41,PER2,6,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/PER2/PER2_sample6_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/PER2/PER2_sample6_macs_peaks.xls,macs
42,NPAS2,1,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/NPAS2/NPAS2_sample1_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/NPAS2/NPAS2_sample1_macs_peaks.xls,macs
43,NPAS2,2,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/NPAS2/NPAS2_sample2_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/NPAS2/NPAS2_sample2_macs_peaks.xls,macs
44,NPAS2,3,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/NPAS2/NPAS2_sample3_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/NPAS2/NPAS2_sample3_macs_peaks.xls,macs
45,NPAS2,4,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/NPAS2/NPAS2_sample4_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/NPAS2/NPAS2_sample4_macs_peaks.xls,macs
46,NPAS2,5,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/NPAS2/NPAS2_sample5_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/NPAS2/NPAS2_sample5_macs_peaks.xls,macs
47,NPAS2,6,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/NPAS2/NPAS2_sample6_sorted.bam,~/rds-loudon-ray-rattray/rds-shared-loudon-ray-rattray/Takahashi_data/NPAS2/NPAS2_sample6_macs_peaks.xls,macs
